age,income,loan_amount,employment_years,has_previous_loans,credit_score,defaulted_before,approved
37,48012,12342,15,0,613,0,1
21,39506,13823,2,0,705,0,1
18,37698,15184,1,0,703,0,1
36,57072,12385,4,0,702,0,1
33,41904,18213,5,1,636,0,1
56,57848,14932,35,0,737,0,1
44,50547,14224,19,0,654,1,1
32,38088,8177,6,0,769,0,1
22,32807,14869,3,0,695,0,1
49,50702,17524,26,1,680,0,1
43,50727,18143,0,0,660,0,1
60,73817,19637,43,1,804,1,1
60,47932,13315,15,0,748,0,1
28,46333,11920,9,0,777,0,1
49,53240,15602,10,0,721,0,1
21,55106,1391,5,0,681,0,1
49,72123,24403,18,0,630,0,1
62,63837,5961,29,0,676,0,1
67,52573,18738,12,0,720,0,1
35,41259,19570,3,1,703,0,1
19,41100,27476,0,0,635,0,1
24,72643,20359,5,0,634,0,1
42,48240,15715,3,1,723,0,1
52,27639,10711,17,0,672,0,1
18,59205,7441,2,0,659,0,1
24,40983,16912,7,1,607,1,1
35,29145,13859,4,0,673,1,1
23,69479,15019,7,1,540,0,0
65,55285,14853,10,1,649,0,1
67,58680,15437,26,0,761,0,1
62,50339,13465,31,0,747,0,1
46,36487,11725,25,1,638,0,1
56,35662,15638,24,1,747,0,1
30,54100,10962,9,0,638,0,1
40,48844,10790,12,0,672,0,1
50,16179,15436,7,0,646,0,1
30,55029,14732,1,1,658,0,1
32,43798,13482,2,1,687,0,1
18,55736,20641,0,1,664,0,1
45,54872,11629,27,0,673,0,1
55,55636,16822,5,1,658,0,0
31,52460,9013,0,1,657,0,1
51,49926,16679,5,0,687,0,1
54,26611,2427,4,0,745,0,1
31,42831,8536,4,1,645,0,1
20,48547,9170,0,0,709,1,1
60,54296,15850,21,0,643,0,1
22,81557,7115,1,1,704,0,1
64,56273,9735,42,1,577,0,1
55,53412,18252,14,1,589,0,1
20,62150,9478,1,0,715,0,1
37,56407,12593,17,1,693,1,1
55,85216,12502,9,1,604,0,1
69,28436,19947,42,1,660,0,1
55,75610,14011,3,1,659,0,1
54,8662,12299,33,1,714,0,1
63,65949,20632,13,1,655,0,1
26,31064,15275,10,1,589,0,1
50,53896,15680,23,1,717,0,1
37,55502,17071,14,1,637,0,1
45,52694,16555,8,1,620,0,1
43,37305,9972,27,1,643,0,1
55,64202,13925,37,0,746,1,1
23,46895,14937,6,1,580,0,1
58,52965,17201,7,1,635,0,1
61,47265,10667,21,1,688,0,1
21,50653,20116,0,0,542,0,1
48,45021,15133,7,0,705,0,1
40,52431,12714,5,0,718,0,1
57,55242,18345,10,0,591,1,1
44,69720,13834,18,0,650,0,1
58,67586,14732,1,1,751,0,0
48,57575,24021,15,1,608,0,1
59,27475,9226,12,1,697,0,1
43,69577,16455,3,0,717,0,1
55,38448,8073,6,0,734,0,1
56,33833,10811,17,1,639,0,1
21,50264,19794,3,1,713,1,1
55,47249,10598,4,1,689,0,1
68,51347,20443,8,0,666,0,0
53,72118,14783,15,1,639,0,1
55,66959,11811,10,0,812,0,1
66,47719,9737,30,1,697,0,1
36,37161,16904,20,0,657,0,1
62,27158,17701,39,1,706,1,0
29,71816,11146,13,0,633,1,1
53,39260,13709,35,1,660,0,1
31,52842,11413,13,1,720,0,1
33,32264,13888,15,0,684,1,1
69,35648,17412,1,0,617,0,1
42,31848,16651,4,1,599,0,0
64,39515,10088,33,1,699,0,1
55,72181,22425,27,1,592,0,1
31,63353,30616,12,1,735,0,1
32,38251,8111,1,0,671,0,1
48,66439,18037,25,0,675,0,1
27,32875,17747,5,1,589,0,1
37,68899,26083,11,0,699,1,1
58,83243,25433,37,0,640,0,1
42,46982,13045,9,1,672,0,1
58,55864,13993,17,1,633,0,1
39,60486,19109,11,1,679,0,1
53,55907,12579,2,1,575,1,1
59,61147,14706,27,1,581,0,1
35,56451,12421,2,0,648,0,1
30,57806,17317,4,1,656,0,1
63,35376,7768,39,0,666,0,1
52,57500,15537,6,1,669,0,1
41,42120,17357,19,1,634,0,1
50,30351,14005,24,0,585,0,1
65,25993,11233,36,1,654,1,1
55,57307,15846,14,0,717,0,0
43,34607,13503,4,0,732,1,0
69,62802,11466,47,1,684,0,1
26,17267,16114,8,1,735,0,1
36,64130,19732,14,1,703,0,1
52,69273,8020,8,0,743,0,1
24,24145,19224,6,1,743,0,0
54,53294,14314,14,0,691,0,1
47,51288,11800,17,1,685,0,1
56,60689,21028,37,0,731,0,1
68,32330,20033,31,0,807,1,1
46,49574,19507,24,0,651,0,1
61,61073,17742,15,1,655,1,1
59,40628,19214,19,0,717,1,0
40,49613,17870,13,1,653,0,1
60,42248,8993,17,1,630,0,1
54,33137,14474,3,1,706,0,1
53,67270,18534,5,0,642,1,1
42,39496,17469,3,0,613,0,1
54,52673,14161,18,0,577,0,1
53,71833,16357,25,1,569,0,1
